"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10"
"SOC1400",1,"SOC1400_1","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,-2.57693992706865,-6.24569693003976,-23.9692074334591,6.6509840975459,-7.72815820934759,0.062088,0.082199,0.043254,0.401591,0.191594,0.107176,0.013724,0.092253,0.001582,0.004539,1949.24,1954.53,1049.41,2.01,2.01,803.75,85.98,2009.09,341.54,144.29,1.009,1.007,1.008,14.279,17.723,1.147,1.056,1.009,1.005,1.006
"SOC1400",2,"SOC1400_2","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,1.38198153429814,-2.56582523541436,-22.5793897454686,21.3994834641355,6.63521773980008,0.060974,0.000404,0.000361,0.453098,0.171545,0.083992,0.01066,0.149782,0.038033,0.03115,1546.28,826.28,740.81,2.02,2,5.53,4.92,382.04,395.56,1126.13,1.078,1.01,1.006,18.47,24.161,1.616,1.855,1.115,1.112,1.012
"SOC1400",3,"SOC1400_3","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,2.5288527563049,5.00758671919302,-14.118015342486,10.0795556569954,-11.3054357122591,0.087514,0.009285,0.013829,0.498315,0.217448,0.014856,0.025617,0.053933,0.008482,0.070721,913.3,43.76,135.9,2.05,2,69.93,195.59,389.39,138.79,549.02,1.082,1.09,1.009,15.917,20.41,1.36,1.099,1.049,1.012,1.035
"SOC1600",1,"SOC1600_1","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,4.23851521779859,0.0905453609368938,-22.3124998845716,13.4349085698331,0.755144412676542,0.055575,0.002632,0.05639,0.440215,0.213771,0.011127,0.000669,0.143476,0.022877,0.053268,1277.84,161.81,1195.08,2.1,2.13,18.54,526.72,559.94,117.91,1113.56,1.069,1.005,1.006,11.495,14.536,1.314,1.006,1.049,1.035,1.013
"SOC1600",2,"SOC1600_2","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,8.03989264083822,-11.7180352185432,-24.5038352719173,-4.58163339221384,1.39583068550673,0.028083,0.0362,0.050348,0.266176,0.125721,0.338589,0.001478,0.074748,0.058398,0.020259,1236.91,946.25,1372.8,2.08,2.05,419.39,178.33,2163.94,2174.1,690.8,1.013,1.004,1.023,10.295,12.922,1.078,1.01,1.007,1.008,1.003
"SOC1600",3,"SOC1600_3","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,7.9016863731411,-10.8067962521193,-42.2316344533538,32.6871993632259,7.65492345526486,0.028506,0.008877,0.000335,0.325801,0.161704,0.245407,0.00179,0.224398,0.000454,0.002729,1740.34,142.21,922.19,2.02,2.01,13.82,170.04,4684.89,537.73,166.29,1.002,1.076,1.004,12.094,14.473,1.293,1.026,1.002,1.006,1.015
"SOC1900",1,"SOC1900_1","SOC",1900,"LS","L",10.44152998,-84.01307403,76.25,2.59,0.31,8.4,7.20124678476656,-6.37036344568403,-21.1023874346742,6.54725712063237,-7.19093802634206,0.025608,0.000807,0.056675,0.484658,0.263123,0.00015,0.000499,0.111155,0.001044,0.056279,394.08,395.55,909.51,2.32,2.21,2034.28,653.11,1929.03,397.93,1479.26,1.012,1.012,1.038,11.364,13.34,1.002,1.003,1.016,1.006,1.012
"SOC800",1,"SOC800_1","SOC",800,"LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,11.1110520984515,-22.0647567109941,-25.6068063714336,-0.105373175686964,-7.31403068465431,9.8e-05,0.012704,0.068153,0.454642,0.253178,0.053053,0.000636,0.086388,0.033285,0.037863,2676.57,120.39,1549.98,19.88,631.35,862.85,624.05,1013.24,963.89,667.15,1.001,1.02,1.006,10.364,13.199,1.055,1.001,1.044,1.009,1.033
"SOC800",2,"SOC800_2","SOC",800,"LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,8.92956195944092,-8.63513487723793,-29.4567943169669,10.8841659930354,-14.203762015318,0.001735,0.058616,0.000256,0.487176,0.31026,0.026443,0.000398,0.085879,0.001079,0.028159,350.06,1093.21,1116.39,2.04,2.03,311.81,837.11,391.48,457.37,24.47,1.006,1.024,1.001,12.063,15.257,1.038,1.003,1.093,1.004,1.247
"SOC800",3,"SOC800_3","SOC",800,"LS","R",10.43720702,-84.01030499,88.5,2.505,0.285,8.85,12.1221470526406,-0.105852485771535,-28.4221720346111,4.93915878890023,-43.2440796706181,0.024476,0.00121,0.000186,0.562036,0.371434,0.00035,0.000369,0.000301,9.1e-05,0.039548,856.39,171.91,1678.99,2.04,2.03,1027,679.76,735.54,3216.4,1050.52,1.017,1.036,1.003,13.857,15.399,1.001,1.005,1.005,1.001,1.021
"SOC900",1,"SOC900_1","SOC",900,"LS","L",10.43791001,-84.01081,92.625,2.555,0.32,8,23.3122113361168,-14.4317477784296,-26.179097728315,-7.35011100038589,-1.63628455807817,0.003417,0.029688,0.044719,0.143514,0.050505,0.655525,0.000341,0.037143,0.004315,0.030834,157.53,834.33,288.8,2.14,2.07,1041.4,1265.46,974.98,159.3,1316.1,1.048,1.012,1.09,8.265,12.572,1.131,1.007,1.039,1.036,1.006
"SOC900",2,"SOC900_2","SOC",900,"LS","L",10.43791001,-84.01081,92.625,2.555,0.32,8,-6.54408502112341,-15.4820492685801,-30.9770248280129,0.172090765319069,-14.9529528270986,0.030142,0.037016,0.084232,0.467955,0.225481,0.080457,0.001985,0.071327,0.001274,0.00013,1231.92,888.64,1040.52,2.05,2.01,502.04,142.47,1369.1,364.83,2056.71,1.015,1.008,1.05,14.89,18.487,1.186,1.015,1.017,1.012,1
