param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_130_pop_2,3381.48,1.000
q_ind_131_pop_2,1489.92,1.004
q_ind_132_pop_2,1634.91,1.002
q_ind_133_pop_2,1090.38,1.002
q_ind_134_pop_2,228.25,1.008
q_ind_135_pop_2,1506.63,1.001
q_ind_136_pop_2,1149.72,1.001
q_ind_137_pop_2,3577.91,1.001
q_ind_138_pop_2,1634.29,1.001
q_ind_139_pop_2,173.23,1.010
q_ind_140_pop_2,852.47,1.003
q_ind_141_pop_2,738.03,1.002
q_ind_142_pop_2,121.55,1.022
q_ind_143_pop_2,978.79,1.001
q_ind_144_pop_2,99.60,1.023
q_ind_145_pop_2,124.58,1.003
q_ind_146_pop_2,2015.91,1.001
q_ind_147_pop_2,1824.84,1.002
q_ind_148_pop_2,1692.27,1.001
q_ind_0_pop_3,137.56,1.017
q_ind_1_pop_3,10474.10,1.000
q_ind_2_pop_3,10031.15,1.000
q_ind_3_pop_3,13113.86,1.000
q_ind_4_pop_3,10759.11,1.000
q_ind_5_pop_3,998.50,1.003
q_ind_6_pop_3,12015.76,1.000
q_ind_7_pop_3,10253.12,1.000
q_ind_8_pop_3,10646.78,1.000
q_ind_9_pop_3,8757.51,1.000
q_ind_10_pop_3,11564.27,1.000
q_ind_11_pop_3,5545.41,1.000
q_ind_12_pop_3,3839.86,1.000
q_ind_13_pop_3,5584.75,1.000
q_ind_14_pop_3,991.43,1.001
q_ind_15_pop_3,447.59,1.005
q_ind_16_pop_3,1634.49,1.000
q_ind_17_pop_3,2223.05,1.002
q_ind_18_pop_3,3106.65,1.001
q_ind_19_pop_3,2138.20,1.001
q_ind_20_pop_3,366.09,1.002
q_ind_21_pop_3,1948.38,1.001
q_ind_22_pop_3,136.77,1.004
q_ind_23_pop_3,400.99,1.003
q_ind_24_pop_3,2881.91,1.002
q_ind_25_pop_3,1413.14,1.001
q_ind_26_pop_3,2338.48,1.001
q_ind_27_pop_3,123.07,1.005
q_ind_28_pop_3,2118.95,1.001
q_ind_29_pop_3,920.35,1.002
q_ind_30_pop_3,378.90,1.004
q_ind_31_pop_3,973.01,1.003
q_ind_32_pop_3,417.80,1.001
q_ind_33_pop_3,308.70,1.006
q_ind_34_pop_3,1631.58,1.003
q_ind_35_pop_3,207.20,1.002
q_ind_36_pop_3,1306.09,1.000
q_ind_37_pop_3,381.63,1.006
q_ind_38_pop_3,1135.84,1.005
q_ind_39_pop_3,431.59,1.006
q_ind_40_pop_3,8286.07,1.000
q_ind_41_pop_3,5121.51,1.000
q_ind_42_pop_3,7264.23,1.000
q_ind_43_pop_3,137.16,1.021
q_ind_44_pop_3,126.71,1.050
q_ind_45_pop_3,397.09,1.007
q_ind_46_pop_3,414.29,1.004
q_ind_47_pop_3,346.01,1.007
q_ind_48_pop_3,389.63,1.003
q_ind_49_pop_3,821.48,1.002
q_ind_50_pop_3,652.59,1.002
q_ind_51_pop_3,571.98,1.004
q_ind_52_pop_3,1082.79,1.003
q_ind_53_pop_3,1043.13,1.002
q_ind_54_pop_3,327.45,1.009
q_ind_55_pop_3,73.84,1.003
q_ind_56_pop_3,9248.66,1.000
q_ind_57_pop_3,7598.69,1.000
q_ind_58_pop_3,12686.66,1.000
q_ind_59_pop_3,227.67,1.003
q_ind_60_pop_3,7281.14,1.000
q_ind_61_pop_3,3861.49,1.000
q_ind_62_pop_3,11506.61,1.000
q_ind_63_pop_3,3368.69,1.000
q_ind_64_pop_3,3440.91,1.000
q_ind_65_pop_3,613.30,1.004
q_ind_66_pop_3,4994.75,1.000
q_ind_67_pop_3,3722.25,1.000
q_ind_68_pop_3,6111.84,1.000
q_ind_69_pop_3,7297.93,1.000
q_ind_70_pop_3,6999.48,1.000
q_ind_71_pop_3,3700.06,1.000
q_ind_72_pop_3,5615.91,1.000
q_ind_73_pop_3,5014.73,1.001
q_ind_74_pop_3,10850.24,1.000
q_ind_75_pop_3,10920.64,1.000
q_ind_76_pop_3,6572.61,1.000
q_ind_77_pop_3,2070.32,1.001
q_ind_78_pop_3,10788.40,1.000
q_ind_79_pop_3,5238.09,1.001
q_ind_80_pop_3,11645.87,1.000
q_ind_81_pop_3,10226.89,1.000
q_ind_82_pop_3,7489.46,1.000
q_ind_83_pop_3,2238.82,1.001
q_ind_84_pop_3,4326.23,1.000
q_ind_85_pop_3,250.65,1.004
q_ind_86_pop_3,5536.38,1.000
q_ind_87_pop_3,3269.81,1.001
q_ind_88_pop_3,1192.80,1.004
q_ind_89_pop_3,5370.49,1.000
q_ind_90_pop_3,1769.51,1.000
q_ind_91_pop_3,3268.50,1.000
q_ind_92_pop_3,6677.81,1.000
q_ind_93_pop_3,5651.42,1.000
q_ind_94_pop_3,1210.38,1.003
q_ind_95_pop_3,103.83,1.021
q_ind_96_pop_3,72.85,1.015
q_ind_97_pop_3,1641.05,1.002
q_ind_98_pop_3,1094.80,1.001
q_ind_99_pop_3,227.50,1.007
q_ind_100_pop_3,1225.28,1.002
q_ind_101_pop_3,1978.88,1.000
q_ind_102_pop_3,1012.70,1.002
q_ind_103_pop_3,1446.70,1.004
q_ind_104_pop_3,318.23,1.007
q_ind_105_pop_3,588.95,1.003
q_ind_106_pop_3,2341.71,1.000
q_ind_107_pop_3,693.94,1.001
q_ind_108_pop_3,140.23,1.006
q_ind_109_pop_3,94.03,1.019
q_ind_110_pop_3,9383.53,1.000
q_ind_111_pop_3,1243.10,1.000
q_ind_112_pop_3,9022.20,1.000
q_ind_113_pop_3,8706.73,1.000
q_ind_114_pop_3,7464.74,1.000
q_ind_115_pop_3,1202.70,1.000
q_ind_116_pop_3,6419.81,1.001
q_ind_117_pop_3,113.37,1.018
q_ind_118_pop_3,963.79,1.005
q_ind_119_pop_3,26.48,1.003
q_ind_120_pop_3,2595.82,1.001
q_ind_121_pop_3,616.66,1.000
q_ind_122_pop_3,1175.65,1.010
q_ind_123_pop_3,988.92,1.001
q_ind_124_pop_3,535.46,1.012
q_ind_125_pop_3,794.18,1.004
q_ind_126_pop_3,5414.26,1.000
q_ind_127_pop_3,464.45,1.007
q_ind_128_pop_3,5154.58,1.000
q_ind_129_pop_3,1840.32,1.001
q_ind_130_pop_3,369.02,1.002
q_ind_131_pop_3,1488.30,1.002
q_ind_132_pop_3,1032.85,1.003
q_ind_133_pop_3,767.08,1.007
q_ind_134_pop_3,637.15,1.001
q_ind_135_pop_3,257.94,1.013
q_ind_136_pop_3,1346.56,1.000
q_ind_137_pop_3,1404.37,1.001
q_ind_138_pop_3,2155.78,1.000
q_ind_139_pop_3,1629.80,1.001
q_ind_140_pop_3,146.57,1.027
q_ind_141_pop_3,1542.01,1.002
q_ind_142_pop_3,1469.88,1.001
q_ind_143_pop_3,195.34,1.020
q_ind_144_pop_3,192.12,1.010
q_ind_145_pop_3,725.87,1.001
q_ind_146_pop_3,773.98,1.005
q_ind_147_pop_3,178.61,1.027
q_ind_148_pop_3,1051.40,1.002
q_ind_0_pop_4,176.09,1.010
q_ind_1_pop_4,10228.20,1.000
q_ind_2_pop_4,9164.58,1.000
q_ind_3_pop_4,12272.37,1.000
q_ind_4_pop_4,12072.63,1.000
q_ind_5_pop_4,158.75,1.033
q_ind_6_pop_4,10544.46,1.000
q_ind_7_pop_4,10346.92,1.000
q_ind_8_pop_4,10342.88,1.000
q_ind_9_pop_4,6668.81,1.000
q_ind_10_pop_4,10940.01,1.000
q_ind_11_pop_4,6357.67,1.000
q_ind_12_pop_4,5900.28,1.000
q_ind_13_pop_4,6374.30,1.000
q_ind_14_pop_4,1669.61,1.001
q_ind_15_pop_4,564.23,1.003
q_ind_16_pop_4,1376.44,1.000
q_ind_17_pop_4,1626.25,1.001
